StudentID,Grade,Section,Subject,ExamDate,Score,PassFlag,TeacherID
STU-106,7,C,Mathematics,12/15/2025,74,Yes,TCH-106
STU-107,8,C,English,1/15/2025,45,No,TCH-107
STU-108,9,D,History,12/15/2025,85,Yes,TCH-108
STU-109,7,A,Science,1/15/2025,83,Yes,TCH-109
STU-110,8,B,Mathematics,2/15/2025,41,No,TCH-110
STU-111,9,C,English,1/15/2025,79,Yes,TCH-101
STU-112,7,D,Science,2/15/2025,81,Yes,TCH-102
STU-113,8,A,Mathematics,3/15/2025,46,No,TCH-103
STU-114,9,B,Science,2/15/2025,85,Yes,TCH-104
STU-115,7,C,English,3/15/2025,77,Yes,TCH-105
STU-116,8,C,Mathematics,4/15/2025,43,No,TCH-106
STU-117,9,D,Science,3/15/2025,86,Yes,TCH-107
STU-118,7,A,History,4/15/2025,72,Yes,TCH-108
STU-119,8,B,Science,5/15/2025,67,Yes,TCH-109
STU-120,9,C,Mathematics,4/15/2025,82,Yes,TCH-110
STU-121,7,D,English,5/15/2025,75,Yes,TCH-101
STU-122,8,A,Science,6/15/2025,63,Yes,TCH-102
STU-123,9,B,Mathematics,5/15/2025,84,Yes,TCH-103
STU-124,7,C,Science,6/15/2025,82,Yes,TCH-104
STU-125,8,C,Science,7/15/2025,61,Yes,TCH-105
STU-126,9,D,Mathematics,6/15/2025,83,Yes,TCH-106
STU-127,7,A,English,7/15/2025,76,Yes,TCH-107
STU-128,8,B,History,8/15/2025,58,Yes,TCH-108
STU-129,9,C,History,7/15/2025,80,Yes,TCH-109
STU-130,7,D,Mathematics,8/15/2025,77,Yes,TCH-110
STU-131,8,A,History,9/15/2025,55,Yes,TCH-101
STU-132,9,B,English,8/15/2025,81,Yes,TCH-102
STU-133,7,C,Science,9/15/2025,79,Yes,TCH-103
STU-134,8,C,History,10/15/2025,53,Yes,TCH-104
STU-135,9,D,Science,9/15/2025,87,Yes,TCH-105
STU-136,7,A,Mathematics,10/15/2025,78,Yes,TCH-106
STU-137,8,B,English,11/15/2025,62,Yes,TCH-107
STU-138,9,C,Science,10/15/2025,86,Yes,TCH-108
STU-139,7,D,History,11/15/2025,73,Yes,TCH-109
STU-140,8,A,English,12/15/2025,48,No,TCH-110
STU-141,9,B,History,11/15/2025,89,Yes,TCH-101
STU-142,7,C,Mathematics,12/15/2025,75,Yes,TCH-102
STU-143,8,C,English,1/15/2025,44,No,TCH-103
STU-144,9,D,History,12/15/2025,84,Yes,TCH-104
STU-145,7,A,Science,1/15/2025,84,Yes,TCH-105
STU-146,8,B,Mathematics,2/15/2025,42,No,TCH-106
STU-147,9,C,English,1/15/2025,80,Yes,TCH-107
STU-148,7,D,Science,2/15/2025,82,Yes,TCH-108
STU-149,8,A,Mathematics,3/15/2025,45,No,TCH-109
STU-150,9,B,Science,2/15/2025,87,Yes,TCH-110
STU-151,7,C,English,3/15/2025,78,Yes,TCH-101
STU-152,8,C,Mathematics,4/15/2025,44,No,TCH-102
STU-153,9,D,Science,3/15/2025,85,Yes,TCH-103
STU-154,7,A,History,4/15/2025,74,Yes,TCH-104
STU-155,8,B,Science,5/15/2025,68,Yes,TCH-105
STU-156,9,C,Mathematics,4/15/2025,83,Yes,TCH-106
STU-157,7,D,English,5/15/2025,76,Yes,TCH-107
STU-158,8,A,Science,6/15/2025,65,Yes,TCH-108
STU-159,9,B,Mathematics,5/15/2025,85,Yes,TCH-109
STU-160,7,C,Science,6/15/2025,81,Yes,TCH-110
STU-161,8,C,Science,7/15/2025,62,Yes,TCH-101
STU-162,9,D,Mathematics,6/15/2025,84,Yes,TCH-102
STU-163,7,A,English,7/15/2025,77,Yes,TCH-103
STU-164,8,B,History,8/15/2025,59,Yes,TCH-104
STU-165,9,C,History,7/15/2025,81,Yes,TCH-105
STU-166,7,D,Mathematics,8/15/2025,76,Yes,TCH-106
STU-167,8,A,History,9/15/2025,54,Yes,TCH-107
STU-168,9,B,English,8/15/2025,83,Yes,TCH-108
STU-169,7,C,Science,9/15/2025,80,Yes,TCH-109
STU-170,8,C,History,10/15/2025,51,Yes,TCH-110
STU-171,9,D,Science,9/15/2025,86,Yes,TCH-101
STU-172,7,A,Mathematics,10/15/2025,79,Yes,TCH-102
STU-173,8,B,English,11/15/2025,61,Yes,TCH-103
STU-174,9,C,Science,10/15/2025,87,Yes,TCH-104
STU-175,7,D,History,11/15/2025,72,Yes,TCH-105
STU-176,8,A,English,12/15/2025,47,No,TCH-106
STU-177,9,B,History,11/15/2025,88,Yes,TCH-107
STU-178,7,C,Mathematics,12/15/2025,74,Yes,TCH-108
STU-179,8,C,English,1/15/2025,46,No,TCH-109
STU-180,9,D,History,12/15/2025,85,Yes,TCH-110
STU-181,7,A,Science,1/15/2025,82,Yes,TCH-101
STU-182,8,B,Mathematics,2/15/2025,43,No,TCH-102
STU-183,9,C,English,1/15/2025,79,Yes,TCH-103
STU-184,7,D,Science,2/15/2025,83,Yes,TCH-104
STU-185,8,A,Mathematics,3/15/2025,44,No,TCH-105
STU-186,9,B,Science,2/15/2025,86,Yes,TCH-106
STU-187,7,C,English,3/15/2025,77,Yes,TCH-107
STU-188,8,C,Mathematics,4/15/2025,45,No,TCH-108
STU-189,9,D,Science,3/15/2025,85,Yes,TCH-109
STU-190,7,A,History,4/15/2025,73,Yes,TCH-110
STU-191,8,B,Science,5/15/2025,66,Yes,TCH-101
STU-192,9,C,Mathematics,4/15/2025,82,Yes,TCH-102
STU-193,7,D,English,5/15/2025,75,Yes,TCH-103
STU-194,8,A,Science,6/15/2025,64,Yes,TCH-104
STU-195,9,B,Mathematics,5/15/2025,84,Yes,TCH-105
STU-196,7,C,Science,6/15/2025,81,Yes,TCH-106
STU-197,8,C,Science,7/15/2025,63,Yes,TCH-107
STU-198,9,D,Mathematics,6/15/2025,83,Yes,TCH-108
STU-199,7,A,English,7/15/2025,78,Yes,TCH-109
STU-200,8,B,History,8/15/2025,57,Yes,TCH-110
