"studentid","grade","section","subject","examdate","score","passflag","teacherid"
"STU-082",7,"A","History","2025-04-15",73,"Yes","TCH-102"
"STU-083",8,"B","Science","2025-05-15",66,"Yes","TCH-103"
"STU-084",9,"C","Mathematics","2025-04-15",84,"Yes","TCH-104"
"STU-085",7,"D","Science","2025-05-15",81,"Yes","TCH-105"
"STU-086",8,"A","Science","2025-06-15",64,"Yes","TCH-106"
"STU-087",9,"B","Mathematics","2025-05-15",83,"Yes","TCH-107"
"STU-088",7,"C","English","2025-06-15",75,"Yes","TCH-108"
"STU-089",8,"C","Science","2025-07-15",62,"Yes","TCH-109"
"STU-090",9,"D","Mathematics","2025-06-15",85,"Yes","TCH-110"
"STU-091",7,"A","English","2025-07-15",78,"Yes","TCH-101"
"STU-092",8,"B","History","2025-08-15",57,"Yes","TCH-102"
"STU-093",9,"C","History","2025-07-15",81,"Yes","TCH-103"
"STU-094",7,"D","Mathematics","2025-08-15",76,"Yes","TCH-104"
"STU-095",8,"A","History","2025-09-15",53,"Yes","TCH-105"
"STU-096",9,"B","English","2025-08-15",82,"Yes","TCH-106"
"STU-097",7,"C","Science","2025-09-15",80,"Yes","TCH-107"
"STU-098",8,"C","History","2025-10-15",52,"Yes","TCH-108"
"STU-099",9,"D","Science","2025-09-15",86,"Yes","TCH-109"
"STU-100",7,"A","Mathematics","2025-10-15",79,"Yes","TCH-110"
"STU-101",8,"B","English","2025-11-15",60,"Yes","TCH-101"
"STU-102",9,"C","Science","2025-10-15",87,"Yes","TCH-102"
"STU-103",7,"D","History","2025-11-15",71,"Yes","TCH-103"
"STU-104",8,"A","English","2025-12-15",49,"No","TCH-104"
"STU-105",9,"B","History","2025-11-15",88,"Yes","TCH-105"
"STU-106",7,"C","Mathematics","2025-12-15",74,"Yes","TCH-106"
"STU-107",8,"C","English","2025-01-15",45,"No","TCH-107"
"STU-108",9,"D","History","2025-12-15",85,"Yes","TCH-108"
"STU-109",7,"A","Science","2025-01-15",83,"Yes","TCH-109"
"STU-110",8,"B","Mathematics","2025-02-15",41,"No","TCH-110"
"STU-111",9,"C","English","2025-01-15",79,"Yes","TCH-101"
"STU-112",7,"D","Science","2025-02-15",81,"Yes","TCH-102"
"STU-113",8,"A","Mathematics","2025-03-15",46,"No","TCH-103"
"STU-114",9,"B","Science","2025-02-15",85,"Yes","TCH-104"
"STU-115",7,"C","English","2025-03-15",77,"Yes","TCH-105"
"STU-116",8,"C","Mathematics","2025-04-15",43,"No","TCH-106"
"STU-117",9,"D","Science","2025-03-15",86,"Yes","TCH-107"
"STU-118",7,"A","History","2025-04-15",72,"Yes","TCH-108"
"STU-119",8,"B","Science","2025-05-15",67,"Yes","TCH-109"
"STU-120",9,"C","Mathematics","2025-04-15",82,"Yes","TCH-110"
"STU-121",7,"D","English","2025-05-15",75,"Yes","TCH-101"
"STU-122",8,"A","Science","2025-06-15",63,"Yes","TCH-102"
"STU-123",9,"B","Mathematics","2025-05-15",84,"Yes","TCH-103"
"STU-124",7,"C","Science","2025-06-15",82,"Yes","TCH-104"
"STU-125",8,"C","Science","2025-07-15",61,"Yes","TCH-105"
"STU-126",9,"D","Mathematics","2025-06-15",83,"Yes","TCH-106"
"STU-127",7,"A","English","2025-07-15",76,"Yes","TCH-107"
"STU-128",8,"B","History","2025-08-15",58,"Yes","TCH-108"
"STU-129",9,"C","History","2025-07-15",80,"Yes","TCH-109"
"STU-130",7,"D","Mathematics","2025-08-15",77,"Yes","TCH-110"
"STU-131",8,"A","History","2025-09-15",55,"Yes","TCH-101"
"STU-132",9,"B","English","2025-08-15",81,"Yes","TCH-102"
"STU-133",7,"C","Science","2025-09-15",79,"Yes","TCH-103"
"STU-134",8,"C","History","2025-10-15",53,"Yes","TCH-104"
"STU-135",9,"D","Science","2025-09-15",87,"Yes","TCH-105"
"STU-136",7,"A","Mathematics","2025-10-15",78,"Yes","TCH-106"
"STU-137",8,"B","English","2025-11-15",62,"Yes","TCH-107"
"STU-138",9,"C","Science","2025-10-15",86,"Yes","TCH-108"
"STU-139",7,"D","History","2025-11-15",73,"Yes","TCH-109"
"STU-140",8,"A","English","2025-12-15",48,"No","TCH-110"
"STU-141",9,"B","History","2025-11-15",89,"Yes","TCH-101"
"STU-142",7,"C","Mathematics","2025-12-15",75,"Yes","TCH-102"
"STU-143",8,"C","English","2025-01-15",44,"No","TCH-103"
"STU-144",9,"D","History","2025-12-15",84,"Yes","TCH-104"
"STU-145",7,"A","Science","2025-01-15",84,"Yes","TCH-105"
"STU-146",8,"B","Mathematics","2025-02-15",42,"No","TCH-106"
"STU-147",9,"C","English","2025-01-15",80,"Yes","TCH-107"
"STU-148",7,"D","Science","2025-02-15",82,"Yes","TCH-108"
"STU-149",8,"A","Mathematics","2025-03-15",45,"No","TCH-109"
"STU-150",9,"B","Science","2025-02-15",87,"Yes","TCH-110"
"STU-151",7,"C","English","2025-03-15",78,"Yes","TCH-101"
"STU-152",8,"C","Mathematics","2025-04-15",44,"No","TCH-102"
"STU-153",9,"D","Science","2025-03-15",85,"Yes","TCH-103"
"STU-154",7,"A","History","2025-04-15",74,"Yes","TCH-104"
"STU-155",8,"B","Science","2025-05-15",68,"Yes","TCH-105"
"STU-156",9,"C","Mathematics","2025-04-15",83,"Yes","TCH-106"
"STU-157",7,"D","English","2025-05-15",76,"Yes","TCH-107"
"STU-158",8,"A","Science","2025-06-15",65,"Yes","TCH-108"
"STU-159",9,"B","Mathematics","2025-05-15",85,"Yes","TCH-109"
"STU-160",7,"C","Science","2025-06-15",81,"Yes","TCH-110"
"STU-161",8,"C","Science","2025-07-15",62,"Yes","TCH-101"
"STU-162",9,"D","Mathematics","2025-06-15",84,"Yes","TCH-102"
"STU-163",7,"A","English","2025-07-15",77,"Yes","TCH-103"
"STU-164",8,"B","History","2025-08-15",59,"Yes","TCH-104"
"STU-165",9,"C","History","2025-07-15",81,"Yes","TCH-105"
"STU-166",7,"D","Mathematics","2025-08-15",76,"Yes","TCH-106"
"STU-167",8,"A","History","2025-09-15",54,"Yes","TCH-107"
"STU-168",9,"B","English","2025-08-15",83,"Yes","TCH-108"
"STU-169",7,"C","Science","2025-09-15",80,"Yes","TCH-109"
"STU-170",8,"C","History","2025-10-15",51,"Yes","TCH-110"
"STU-171",9,"D","Science","2025-09-15",86,"Yes","TCH-101"
"STU-172",7,"A","Mathematics","2025-10-15",79,"Yes","TCH-102"
"STU-173",8,"B","English","2025-11-15",61,"Yes","TCH-103"
"STU-174",9,"C","Science","2025-10-15",87,"Yes","TCH-104"
"STU-175",7,"D","History","2025-11-15",72,"Yes","TCH-105"
"STU-176",8,"A","English","2025-12-15",47,"No","TCH-106"
"STU-177",9,"B","History","2025-11-15",88,"Yes","TCH-107"
"STU-178",7,"C","Mathematics","2025-12-15",74,"Yes","TCH-108"
"STU-179",8,"C","English","2025-01-15",46,"No","TCH-109"
"STU-180",9,"D","History","2025-12-15",85,"Yes","TCH-110"
"STU-181",7,"A","Science","2025-01-15",82,"Yes","TCH-101"
"STU-182",8,"B","Mathematics","2025-02-15",43,"No","TCH-102"
"STU-183",9,"C","English","2025-01-15",79,"Yes","TCH-103"
"STU-184",7,"D","Science","2025-02-15",83,"Yes","TCH-104"
"STU-185",8,"A","Mathematics","2025-03-15",44,"No","TCH-105"
"STU-186",9,"B","Science","2025-02-15",86,"Yes","TCH-106"
"STU-187",7,"C","English","2025-03-15",77,"Yes","TCH-107"
"STU-188",8,"C","Mathematics","2025-04-15",45,"No","TCH-108"
"STU-189",9,"D","Science","2025-03-15",85,"Yes","TCH-109"
"STU-190",7,"A","History","2025-04-15",73,"Yes","TCH-110"
"STU-191",8,"B","Science","2025-05-15",66,"Yes","TCH-101"
"STU-192",9,"C","Mathematics","2025-04-15",82,"Yes","TCH-102"
"STU-193",7,"D","English","2025-05-15",75,"Yes","TCH-103"
"STU-194",8,"A","Science","2025-06-15",64,"Yes","TCH-104"
"STU-195",9,"B","Mathematics","2025-05-15",84,"Yes","TCH-105"
"STU-196",7,"C","Science","2025-06-15",81,"Yes","TCH-106"
"STU-197",8,"C","Science","2025-07-15",63,"Yes","TCH-107"
"STU-198",9,"D","Mathematics","2025-06-15",83,"Yes","TCH-108"
"STU-199",7,"A","English","2025-07-15",78,"Yes","TCH-109"
"STU-200",8,"B","History","2025-08-15",57,"Yes","TCH-110"
